,bound,mcallester_bound,measure,risk_test,risk_train,seeger_bound
alpha=244.94897427831782/batch_size=64/data=mnist/delta=0.0001/depth=2/epoch=11/epoch_mh=1/lr_mh=0.0001/lr_sgd=0.1/measure=dist_fro/seed=0/width=128,0.0515446662902832,0.5892710089683533,3108.42626953125,0.4235000014305115,0.4287333488464355,0.5884091363679178
alpha=244.94897427831782/batch_size=64/data=mnist/delta=0.0001/depth=2/epoch=11/epoch_mh=1/lr_mh=0.0001/lr_sgd=0.1/measure=sum_fro/seed=0/width=128,0.0042419764213263,0.1933708488941192,93.9180908203125,0.1395999938249588,0.1473166644573211,0.1819121137011163
alpha=244.94897427831782/batch_size=64/data=mnist/delta=0.0001/depth=2/epoch=11/epoch_mh=1/lr_mh=0.0001/lr_sgd=0.1/measure=zero/seed=0/width=128,0.0034231592435389,0.2186712473630905,0.0,0.1706999987363815,0.1773000061511993,0.2103338801848678
alpha=244.94897427831782/batch_size=64/data=mnist/delta=0.0001/depth=2/epoch=11/epoch_mh=1/lr_mh=0.0001/lr_sgd=0.1/measure=param_norm/seed=0/width=128,0.0239766053855419,0.997124433517456,1569.2359619140625,0.8865000009536743,0.8876333236694336,0.9443467875194004
alpha=244.94897427831782/batch_size=64/data=mnist/delta=0.0001/depth=2/epoch=11/epoch_mh=1/lr_mh=0.0001/lr_sgd=0.1/measure=sum_fro-aug/seed=0/width=128,0.0037739942781627,0.1851895898580551,93.660888671875,0.132200002670288,0.1417500078678131,0.1738205936235096
alpha=244.94897427831782/batch_size=64/data=mnist/delta=0.0001/depth=2/epoch=11/epoch_mh=1/lr_mh=0.0001/lr_sgd=0.1/measure=dist_fro/seed=0/width=256,0.0973341390490531,0.6393061876296997,6221.70703125,0.4156000018119812,0.4187000095844269,0.6362714295378571
alpha=244.94897427831782/batch_size=64/data=mnist/delta=0.0001/depth=2/epoch=11/epoch_mh=1/lr_mh=0.0001/lr_sgd=0.1/measure=dist_l2/seed=0/width=128,0.0041997479274868,0.2001577168703079,55.74246597290039,0.1440999954938888,0.1543333381414413,0.18933204652742
alpha=244.94897427831782/batch_size=64/data=mnist/delta=0.0001/depth=2/epoch=11/epoch_mh=1/lr_mh=0.0001/lr_sgd=0.1/measure=param_norm-aug/seed=0/width=128,0.0239766035228967,0.997124433517456,1569.2359619140625,0.8865000009536743,0.8876333236694336,0.9443467858450064
alpha=244.94897427831782/batch_size=64/data=mnist/delta=0.0001/depth=2/epoch=11/epoch_mh=1/lr_mh=0.0001/lr_sgd=0.1/measure=dist_fro-aug/seed=0/width=128,0.051559317857027,0.554160475730896,3107.376953125,0.3859999775886535,0.3936000168323517,0.5536988300005858
alpha=244.94897427831782/batch_size=64/data=mnist/delta=0.0001/depth=2/epoch=11/epoch_mh=1/lr_mh=0.0001/lr_sgd=0.1/measure=dist_fro-aug/seed=0/width=256,0.0967492908239364,0.626042366027832,6195.31494140625,0.4016999900341034,0.4061000049114227,0.623682381015507
