,bound,dS,dT,eS,eT,kl,rS,rT,tS,tT,time
data=svmguide/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.5383619,0.536,1.2314515113830566
data=wdbc/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.799663975669991,0.38049254,0.37819827,0.084484234,0.08593956,3.220750331878662,0.2747305,0.2750387,0.024561403,0.045774646,0.4400217533111572
data=tictactoe/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.5777413249015808,0.25254783,0.23305784,0.0634561,0.057518907,0.6707303524017334,0.18973002,0.17404783,0.058333334,0.060542796,3.2870142459869385
data=haberman/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.9994724183343624,0.2702631,0.24984252,0.186783,0.17623553,2.532456874847412,0.32191455,0.3011568,0.2875817,0.22875817,0.1884782314300537
data=haberman/delta=0.05/epoch=2000/learner=mincq/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.9999987590805444,0.49614835,0.49634627,0.22556531,0.22976978,0.2907066345214844,0.4736395,0.4779429,0.22222222,0.24183007,0.0432605743408203
data=tictactoe/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0395269393920898,0.43526697,0.43704495,0.17865172,0.17384855,1.0616683959960938,0.3962852,0.39237103,0.2881002,0.27348644,2.976269721984864
data=tictactoe/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.6259997890484458,0.24757475,0.22192825,0.056941494,0.058679305,1.7796990871429443,0.18072887,0.16964343,0.0375,0.064718165,0.1882486343383789
data=svmguide/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.1809809058904647,0.039560035,0.04200792,0.025306243,0.026293168,0.5209875106811523,0.04508626,0.047297128,0.035598706,0.03275,4.044687509536743
data=svmguide/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.2944539487361908,0.14400895,0.15527487,0.050173335,0.057635963,3.097773551940918,0.12217781,0.1352734,0.067011975,0.08175,3.779861211776733
data=credit/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.8637593614911665,0.24389635,0.23841353,0.12372256,0.10404479,0.0,0.24567074,0.22325155,0.15853658,0.13496932,0.5839948654174805
