,bound,kl,tS,tT,time,dS,dT,eS,eT,rS,rT
data=tictactoe/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=2/sigmoid_c=100/sto_prior=1.0/voter=stump,0.9108395576477052,0.1495471000671386,0.22129436,0.22964509,278.4563019275665,0.49050912,0.49026087,0.21327491,0.21311189,0.45852947,0.45824233
data=haberman/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=3/sigmoid_c=100/sto_prior=1.0/voter=tree,0.5512296557426453,0.0963556766510009,0.35432523,0.2929197,74.50226759910583,,,,,,
data=tictactoe/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=2/sigmoid_c=100/sto_prior=1.0/voter=stump,0.9108395576477052,0.1495471000671386,0.22129436,0.22964509,284.2973680496216,0.49050912,0.49026087,0.21327491,0.21311189,0.45852947,0.45824233
data=haberman/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=3/sigmoid_c=100/sto_prior=1.0/voter=tree,1.106102705001831,0.0015091896057128,0.35064936,0.3006536,67.49799394607544,0.24666663,0.20306434,0.25160208,0.21258444,0.3749354,0.3141166
data=credit/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=tree,0.2780064046382904,0.0585701465606689,0.16356453,0.14909978,47.46446585655213,,,,,,
data=tictactoe/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=3/sigmoid_c=100/sto_prior=1.0/voter=tree,0.123269684612751,0.5130481719970703,0.052180827,0.052584402,126.05559992790222,,,,,,
data=usvotes/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=2/sigmoid_c=100/sto_prior=1.0/voter=stump,0.527466893196106,0.1486859321594238,0.055045873,0.03686636,341.85351967811584,0.47697073,0.47657755,0.16430104,0.16237845,0.4027864,0.40066722
data=haberman/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.8881462216377258,0.0383462905883789,0.25490198,0.27450982,87.74580931663513,0.48077816,0.48128045,0.20715868,0.21292743,0.44754776,0.45356765
data=heart/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=stump,0.4769406616687774,10.930389404296877,0.23584206,0.23913433,42.64528131484985,,,,,,
data=haberman/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.8881452679634094,0.0383458137512207,0.25490198,0.27450982,90.37482833862305,0.48077816,0.48128045,0.20715868,0.21292749,0.44754776,0.4535677
data=haberman/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=3/sigmoid_c=100/sto_prior=1.0/voter=tree,1.1060980558395386,0.0015077590942382,0.35064936,0.3006536,92.16447472572328,0.2466667,0.20306441,0.251602,0.21258439,0.37493536,0.3141166
data=heart/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=tree,0.3348764777183532,0.0903463363647461,0.15454122,0.20922199,43.72622966766357,,,,,,
data=credit/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.4241257607936859,31.9091796875,0.20272307,0.16552743,260.88375520706177,,,,,,
data=tictactoe/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=3/sigmoid_c=100/sto_prior=1.0/voter=tree,0.2498479187488556,0.0077919960021972,0.041666668,0.04592902,152.8401689529419,0.25949866,0.27511817,0.06346232,0.0657801,0.19321164,0.20333919
data=usvotes/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=tree,0.1676649004220962,0.1302309036254882,0.058246836,0.11015201,41.00529742240906,,,,,,
data=svmguide/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=3/sigmoid_c=100/sto_prior=1.0/voter=tree,0.0482623688876628,0.0983917713165283,0.028486663,0.034068603,141.52184915542605,,,,,,
data=credit/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=4/sigmoid_c=100/sto_prior=1.0/voter=tree,0.2785009145736694,0.0621833801269531,0.16059963,0.1472255,95.14632534980774,,,,,,
data=heart/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=4/sigmoid_c=100/sto_prior=1.0/voter=tree,0.3307190537452698,0.0961446762084961,0.15429634,0.21660261,73.22432732582092,,,,,,
data=usvotes/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.3502950370311737,20.7625732421875,0.12978823,0.11988121,224.928142786026,,,,,,
data=heart/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=4/sigmoid_c=100/sto_prior=1.0/voter=stump,0.4465023875236511,10.727203369140623,0.21839388,0.23152913,90.02804231643677,,,,,,
data=svmguide/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.126458466053009,0.0034074783325195,0.039482202,0.035,715.2673587799072,0.0380933,0.04004394,0.02865113,0.02684377,0.04769778,0.04686574
data=heart/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=tree,0.6659808158874512,0.0015501976013183,0.14666666,0.22972973,70.11877965927124,0.28505278,0.28696412,0.11989638,0.1390082,0.26242277,0.28249025
data=phishing/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.0461992584168911,0.2108411788940429,0.034958486,0.037544042,455.97927045822144,,,,,,
data=usvotes/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=4/sigmoid_c=100/sto_prior=1.0/voter=tree,0.1684871762990951,0.1506810188293457,0.057103835,0.11440205,65.86102080345154,,,,,,
data=svmguide/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.126458466053009,0.0034074783325195,0.039482202,0.035,718.1348848342896,0.0380933,0.04004394,0.02865113,0.02684377,0.04769778,0.04686574
data=tictactoe/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=3/sigmoid_c=100/sto_prior=1.0/voter=tree,0.249847337603569,0.007791519165039,0.041666668,0.04592902,188.3311374187469,0.25949878,0.2751183,0.06346235,0.06578012,0.19321173,0.20333926
data=wdbc/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=tree,0.1846125572919845,0.4367417097091675,0.07374863,0.046635576,49.62735652923584,,,,,,
data=svmguide/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0999305099248886,41.8270263671875,0.046846934,0.060637705,183.8997983932495,,,,,,
data=credit/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=tree,0.5591191649436951,0.0010256767272949,0.15853658,0.15030675,112.65230202674866,0.23700714,0.2418357,0.124580845,0.10930096,0.24308442,0.23021881
data=heart/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=4/sigmoid_c=100/sto_prior=1.0/voter=tree,0.6659808158874512,0.0015501976013183,0.14666666,0.22972973,93.34151458740234,0.28505278,0.28696412,0.11989638,0.1390082,0.26242277,0.28249025
data=credit/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=4/sigmoid_c=100/sto_prior=1.0/voter=tree,0.5591191649436951,0.0010256767272949,0.15853658,0.15030675,115.19016671180724,0.23700714,0.2418357,0.124580845,0.10930096,0.24308442,0.23021881
data=heart/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=stump,0.8874238729476929,0.0929646492004394,0.17449665,0.1554054,107.447012424469,0.48828134,0.48805612,0.19919612,0.20115432,0.44333678,0.44518238
data=usvotes/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=4/sigmoid_c=100/sto_prior=1.0/voter=tree,0.3382295072078705,0.0023651123046875,0.055045873,0.11059908,79.23878407478333,0.12608019,0.13564001,0.04581149,0.06868725,0.10885158,0.13650726
data=usvotes/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=tree,0.3382295072078705,0.0023651123046875,0.055045873,0.11059908,80.28617072105408,0.12608019,0.13564001,0.04581149,0.06868725,0.10885158,0.13650726
data=credit/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.7569851279258728,0.2126274108886718,0.1559633,0.116564415,305.9901955127716,0.48403764,0.48418573,0.19365522,0.18673415,0.43567404,0.42882702
data=tictactoe/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=stump,0.4475678205490112,15.891937255859377,0.30509773,0.30976585,59.91461229324341,,,,,,
data=wdbc/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.2870586514472961,30.378662109375,0.081916064,0.08838488,265.8249123096466,,,,,,
data=tictactoe/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=tree,0.15401391685009,0.5499849319458008,0.075497545,0.07529962,60.78536939620972,,,,,,
data=heart/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=4/sigmoid_c=100/sto_prior=1.0/voter=stump,0.8874238729476929,0.0929646492004394,0.17449665,0.1554054,129.52279472351074,0.48828134,0.48805612,0.19919612,0.20115432,0.44333678,0.44518238
data=haberman/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=stump,0.4993188083171844,6.685016632080078,0.28194597,0.2477782,29.50467014312744,,,,,,
data=usvotes/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.5320703983306885,0.1601009368896484,0.055045873,0.032258064,281.059609413147,0.47688308,0.47569057,0.16386782,0.16043274,0.40230936,0.39827803
data=wdbc/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=4/sigmoid_c=100/sto_prior=1.0/voter=tree,0.1813502013683319,0.4623324871063232,0.075072095,0.04614395,92.85392498970032,,,,,,
data=usvotes/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.5320703983306885,0.1601009368896484,0.055045873,0.032258064,283.2905185222626,0.47688308,0.47569057,0.16386782,0.16043274,0.40230936,0.39827803
data=usvotes/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.2846156060695648,18.516876220703125,0.09082026,0.076733954,297.04325461387634,,,,,,
data=credit/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.38947793841362,23.88729858398437,0.18944158,0.15708789,355.0538053512573,,,,,,
data=haberman/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=tree,0.5118862986564636,0.0356984138488769,0.3150537,0.29171735,46.17716860771179,,,,,,
data=wdbc/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=4/sigmoid_c=100/sto_prior=1.0/voter=tree,0.3617835938930511,0.0073304176330566,0.062937066,0.04225352,94.06965613365172,0.09426851,0.099746846,0.046704832,0.03860918,0.09383909,0.0884826
data=haberman/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=4/sigmoid_c=100/sto_prior=1.0/voter=tree,0.510678231716156,0.0312743186950683,0.31597185,0.2871139,55.79833436012268,,,,,,
data=wdbc/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=tree,0.3617826402187347,0.0073299407958984,0.062937066,0.04225352,89.83922696113586,0.094268605,0.099746935,0.04670483,0.03860918,0.09383913,0.08848265
data=credit/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.7569856643676758,0.2126288414001464,0.1559633,0.116564415,356.4918749332428,0.48403758,0.48418564,0.1936551,0.18673405,0.4356739,0.42882687
data=tictactoe/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.4495157301425934,15.421798706054688,0.30084264,0.29647446,271.98248052597046,,,,,,
data=wdbc/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.5657052993774414,0.2432336807250976,0.031578947,0.056338027,293.08523869514465,0.47912893,0.47820002,0.16798006,0.16651624,0.40754452,0.40561625
data=haberman/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=4/sigmoid_c=100/sto_prior=1.0/voter=stump,0.4991889894008636,6.772506713867188,0.2962729,0.25285056,70.69598460197449,,,,,,
data=haberman/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=4/sigmoid_c=100/sto_prior=1.0/voter=tree,1.0225752592086792,0.0005183219909667,0.3116883,0.2875817,67.13982725143433,0.1966105,0.21400267,0.25083867,0.20593354,0.34914392,0.31293488
data=haberman/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=tree,1.0225752592086792,0.0005183219909667,0.3116883,0.2875817,67.49820876121521,0.1966105,0.21400267,0.25083867,0.20593354,0.34914392,0.31293488
data=wdbc/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=stump,0.3480921983718872,36.526611328125,0.09120207,0.10073678,147.97595143318176,,,,,,
data=tictactoe/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=4/sigmoid_c=100/sto_prior=1.0/voter=tree,0.1563283801078796,0.5757274627685547,0.07590517,0.07411271,124.74665236473083,,,,,,
data=haberman/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=4/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0260685682296753,0.0384340286254882,0.32026145,0.20915033,89.26431822776794,0.486278,0.48628473,0.22025385,0.20560068,0.46339285,0.44874305
data=haberman/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0260660648345947,0.0384325981140136,0.32026145,0.20915033,88.52120923995972,0.486278,0.48628473,0.22025385,0.20560068,0.46339285,0.44874305
data=credit/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=5/sigmoid_c=100/sto_prior=1.0/voter=tree,0.2306087464094162,0.119145393371582,0.11820233,0.14371723,53.79756140708923,,,,,,
data=credit/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=stump,0.4433615207672119,34.22735595703125,0.20601554,0.19434458,239.02582788467407,,,,,,
data=usvotes/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=stump,0.3190228343009949,20.300567626953125,0.11759371,0.13247521,197.6465425491333,,,,,,
data=heart/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=5/sigmoid_c=100/sto_prior=1.0/voter=stump,0.5076244473457336,10.957809448242188,0.22383404,0.23014916,46.79730725288391,,,,,,
data=heart/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=5/sigmoid_c=100/sto_prior=1.0/voter=tree,0.3942514359951019,0.2131567001342773,0.19424409,0.1945401,44.69338321685791,,,,,,
data=svmguide/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=tree,0.0586237087845802,0.1054378747940063,0.037014294,0.030256154,649.6017813682556,,,,,,
data=tictactoe/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=4/sigmoid_c=100/sto_prior=1.0/voter=tree,0.3160362541675567,0.0085301399230957,0.0625,0.07515658,152.64749026298523,0.2670618,0.26418912,0.07691869,0.06763272,0.21044959,0.19972728
data=usvotes/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=5/sigmoid_c=100/sto_prior=1.0/voter=tree,0.1752690970897674,0.1267726421356201,0.06321241,0.06815356,36.284796953201294,,,,,,
data=tictactoe/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=tree,0.3160355985164642,0.0085296630859375,0.0625,0.07515658,158.3128719329834,0.26706186,0.26418924,0.07691871,0.06763272,0.21044964,0.19972734
data=tictactoe/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.9242214560508728,0.1345763206481933,0.24217118,0.21503131,336.69853496551514,0.49076527,0.4920766,0.21520665,0.21563314,0.4605893,0.46167144
data=heart/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=5/sigmoid_c=100/sto_prior=1.0/voter=tree,0.3854432106018066,0.214630126953125,0.19775721,0.19752553,72.70907664299011,,,,,,
data=tictactoe/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.9242221117019652,0.1345772743225097,0.24217118,0.21503131,340.9276292324066,0.49076527,0.4920766,0.21520665,0.21563314,0.4605893,0.46167144
data=heart/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=5/sigmoid_c=100/sto_prior=1.0/voter=stump,0.4487083852291107,10.256942749023438,0.22332482,0.2346333,89.67069053649902,,,,,,
data=heart/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=5/sigmoid_c=100/sto_prior=1.0/voter=tree,0.7777003049850464,0.0034284591674804,0.17333333,0.19594595,68.49976301193237,0.31510344,0.30488968,0.13778485,0.13877988,0.29533657,0.29122472
data=wdbc/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=4/sigmoid_c=100/sto_prior=1.0/voter=stump,0.2787355184555053,30.03680419921875,0.07721134,0.09365589,219.0708582401276,,,,,,
data=usvotes/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=4/sigmoid_c=100/sto_prior=1.0/voter=stump,0.5215305685997009,0.1478271484375,0.055045873,0.03686636,239.0426743030548,0.47683862,0.47737715,0.16385998,0.16433798,0.4022793,0.40302655
data=credit/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=5/sigmoid_c=100/sto_prior=1.0/voter=tree,0.2268872410058975,0.1262092590332031,0.11805538,0.14245784,118.86337375640868,,,,,,
data=svmguide/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1069983094930648,39.4503173828125,0.056780893,0.051000524,186.17591500282288,,,,,,
data=wdbc/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=5/sigmoid_c=100/sto_prior=1.0/voter=tree,0.1341740041971206,0.1492364406585693,0.04245492,0.0620963,36.52584266662598,,,,,,
data=usvotes/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=5/sigmoid_c=100/sto_prior=1.0/voter=tree,0.1783776581287384,0.1198263168334961,0.063939214,0.06591661,71.70555138587952,,,,,,
