,bound,kl,tS,tT,time,dS,dT,eS,eT,rS,rT
data=tictactoe/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.4644062221050262,13.85614013671875,0.31256568,0.29333666,55.43726515769959,,,,,,
data=tictactoe/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.1577563732862472,0.4242610931396484,0.07897105,0.068995595,53.60725522041321,,,,,,
data=haberman/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.4850528240203857,3.603717803955078,0.34777388,0.313845,21.466205596923828,,,,,,
data=usvotes/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.3136443495750427,0.0036439895629882,0.04587156,0.03686636,103.69617652893066,0.11666708,0.116878495,0.036806874,0.035186484,0.09514041,0.09362573
data=haberman/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.5069925785064697,0.1704035103321075,0.3081631,0.28392282,39.42382168769837,,,,,,
data=haberman/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.5107564926147461,0.2007324695587158,0.3133319,0.28461674,56.29542946815491,,,,,,
data=wdbc/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.3207853734493255,0.0017623901367187,0.055944055,0.03521127,100.2193067073822,0.09724652,0.09118325,0.051593076,0.03488184,0.10021634,0.08047347
data=haberman/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.4842776358127594,3.9888992309570312,0.30462182,0.25931266,70.8214020729065,,,,,,
data=haberman/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,1.024994969367981,0.0034980773925781,0.3116883,0.2875817,66.50957202911377,0.2332915,0.19682074,0.22256446,0.20992798,0.3392102,0.30833834
data=wdbc/delta=0.05/epoch=2000/learner=bound-rand/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.3207862973213196,0.0017628669738769,0.055944055,0.03521127,123.58659148216248,0.09724664,0.09118336,0.05159307,0.034881834,0.10021639,0.08047351
data=wdbc/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.3357912898063659,32.1822509765625,0.10637666,0.113615274,147.89432525634766,,,,,,
