,bound,dS,dT,eS,eT,kl,rS,rT,tS,tT,time
data=moons-0_02-0-500/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=64/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.5623274445533752,0.29615474,0.2971545,0.07795982,0.07568154,1.3232145309448242,0.22603719,0.22425878,0.076,0.082,1.769670486450195
data=moons-0_02-0-1000/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=32/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.6097299514313745,0.39755023,0.39628774,0.097311884,0.09608078,2.281134605407715,0.296087,0.29422465,0.083,0.079,0.166839599609375
data=moons-0_02-0-5000/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=32/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.4984,0.508,0.0001056194305419
data=moons-0_02-0-100/delta=0.05/epoch=2000/learner=mincq/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=32/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.9999999996306608,0.5,0.5,0.24995002,0.24995181,0.0,0.49995002,0.4999518,0.0,0.0,0.0631968975067138
data=moons-0_02-1-100/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=32/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.51,0.499,0.0001256465911865
data=moons-0_02-0-1000/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=128/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.496,0.504,0.0001060962677001
data=moons-0_02-1-100/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=32/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.8753700852394104,0.311748,0.30929407,0.07230444,0.0867614,0.9753177165985109,0.22817844,0.24140844,0.06,0.111,0.5542175769805908
data=moons-0_02-1-100/delta=0.05/epoch=2000/learner=cb-boost/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=32/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.985123092903146,0.39734596,0.3983209,0.090649515,0.10283244,2.3965115547180176,0.2893225,0.3019929,0.04,0.089,0.0322613716125488
data=moons-0_02-1-100/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=64/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.51,0.499,0.0001435279846191
data=moons-0_02-1-500/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=64/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.47,0.515,0.0001420974731445
data=moons-0_02-1-100/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=128/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.51,0.499,0.000131607055664
data=moons-0_02-1-500/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=32/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.47,0.515,0.0001337528228759
data=moons-0_02-1-100/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=64/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.8771239519119263,0.3129631,0.3093878,0.07257737,0.0872955,0.976658821105957,0.22905892,0.2419894,0.07,0.105,1.052112102508545
