,bound,dS,dT,eS,eT,kl,rS,rT,tS,tT,time
data=heart/delta=0.05/epoch=2000/learner=nothing/max_depth=4/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.9853142886831124,0.25204006,0.2841311,0.14638002,0.14921823,0.0,0.27240005,0.2912838,0.24,0.20945945,0.00883150100708
data=usvotes/delta=0.05/epoch=2000/learner=bound-joint/max_depth=4/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.4516483247280121,0.09115687,0.10097035,0.021857068,0.028798271,0.2355480194091797,0.0674355,0.079283446,0.036697246,0.032258064,1.1058928966522217
data=heart/delta=0.05/epoch=2000/learner=bound-joint/max_depth=1/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,1.0564892292022705,0.2981892,0.30861273,0.09716156,0.15259261,0.3150815963745117,0.24625616,0.30689898,0.10666667,0.22297297,0.8637733459472656
data=usvotes/delta=0.05/epoch=2000/learner=nothing/max_depth=1/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.7070110504808504,0.15839821,0.17255765,0.06529634,0.063721225,0.0,0.14449544,0.15000005,0.119266056,0.09677419,0.0105335712432861
data=usvotes/delta=0.05/epoch=2000/learner=bound-joint/max_depth=16/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.4886074066162109,0.10663391,0.10968081,0.027186427,0.03314198,0.2024412155151367,0.08050338,0.08798239,0.036697246,0.032258064,1.105459213256836
data=usvotes/delta=0.05/epoch=2000/learner=bound-joint/max_depth=2/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.5004768371582031,0.105128795,0.11764814,0.028829433,0.0329459,0.2029323577880859,0.08139383,0.09176997,0.036697246,0.03686636,0.8527154922485352
data=usvotes/delta=0.05/epoch=2000/learner=nothing/max_depth=16/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.5687463265678463,0.1167432,0.11758441,0.03768349,0.035723962,0.0,0.09605509,0.094516166,0.055045873,0.041474655,0.0088837146759033
data=wdbc/delta=0.05/epoch=2000/learner=nothing/max_depth=1/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.7803228699091438,0.10310481,0.09127172,0.10886714,0.056406345,0.0,0.16041954,0.102042206,0.16083916,0.08098592,0.0055189132690429
data=wdbc/delta=0.05/epoch=2000/learner=bound-joint/max_depth=4/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.527535080909729,0.09457462,0.08818198,0.041451294,0.032032404,0.2544097900390625,0.088738605,0.076123394,0.04195804,0.03169014,0.6619687080383301
data=tictactoe/delta=0.05/epoch=2000/learner=bound-joint/max_depth=2/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,1.2689484357833862,0.33694103,0.33362505,0.20736079,0.16942136,0.3846426010131836,0.3758313,0.33623388,0.28333333,0.21920668,0.7575409412384033
data=wdbc/delta=0.05/epoch=2000/learner=nothing/max_depth=16/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.5794435098331359,0.09768662,0.091596395,0.05213567,0.034941196,0.0,0.10097898,0.080739394,0.062937066,0.03521127,0.0054924488067626
data=tictactoe/delta=0.05/epoch=2000/learner=nothing/max_depth=1/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.9999744555903728,0.33829167,0.34509647,0.2526042,0.19467515,0.0,0.42175,0.36722338,0.3625,0.2901879,0.0001242160797119
data=tictactoe/delta=0.05/epoch=2000/learner=bound-joint/max_depth=16/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.577741265296936,0.2525478,0.23305775,0.06345609,0.05751892,0.6707303524017334,0.18972999,0.1740478,0.058333334,0.060542796,1.2017273902893066
data=tictactoe/delta=0.05/epoch=2000/learner=nothing/max_depth=4/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.9417722495464114,0.33037,0.31901255,0.16023168,0.12723695,0.0,0.32541668,0.28674322,0.2125,0.17118998,9.918212890625e-05
data=tictactoe/delta=0.05/epoch=2000/learner=bound-joint/max_depth=8/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.5991513729095459,0.25396627,0.24137793,0.068327874,0.060510464,0.5641603469848633,0.19531101,0.18119943,0.058333334,0.050104383,1.025459051132202
